n_wifi_off,connected_mesh,best_case_connected_mesh,worst_case_connected_mesh
0,218,218,218
1,218,218,218
2,216,218,211
3,214,218,204
4,211,218,190
5,206,218,183
6,200,218,169
7,194,218,162
8,186,218,148
9,176,218,134
10,166,218,127
11,155,204,113
12,142,190,99
13,128,169,92
14,114,148,78
15,98,127,64
16,80,106,50
17,62,85,43
18,43,57,29
19,22,29,15
20,0,0,0
